phenotype	p value	Filter	GO Category	GO Annotation	Sorghum bicolor - REFLIST (33714)	upload_1 (460)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
height	p001	QTL	BP	regulation of protein metabolic process (GO:0051246)	692	47	16.63	+	2.83	9.40E-10	2.23E-07
height	p001		BP	regulation of protein metabolic process (GO:0051246)	692	56	18.68	+	3	3.21E-12	7.63E-10
growth	p0005	QTL	BP	regulation of translation (GO:0006417)	376	14	2.93	+	4.77	2.53E-06	3.01E-03
growth	p0005		BP	regulation of translation (GO:0006417)	376	13	3.21	+	4.05	3.19E-05	1.51E-02
growth	p001	QTL	BP	regulation of translation (GO:0006417)	376	18	3.74	+	4.82	9.27E-08	7.34E-05
growth	p001		BP	regulation of translation (GO:0006417)	376	23	5.13	+	4.48	6.95E-09	4.71E-06
height	p0001	QTL	BP	regulation of translation (GO:0006417)	376	19	4.62	+	4.12	4.66E-07	3.16E-04
height	p0001		BP	regulation of translation (GO:0006417)	376	22	4.82	+	4.57	1.04E-08	7.03E-06
height	p0005	QTL	BP	regulation of translation (GO:0006417)	376	38	8.11	+	4.69	4.48E-14	3.04E-11
height	p0005		BP	regulation of translation (GO:0006417)	376	36	8.07	+	4.46	8.07E-13	5.48E-10
height	p001	QTL	BP	regulation of translation (GO:0006417)	376	42	9.03	+	4.65	3.24E-15	1.93E-12
height	p001		BP	regulation of translation (GO:0006417)	376	49	10.15	+	4.83	5.20E-18	3.09E-15
growth	p0005	QTL	MF	single-stranded RNA binding (GO:0003727)	243	11	1.9	+	5.8	5.29E-06	1.34E-02
growth	p0005		MF	single-stranded RNA binding (GO:0003727)	243	13	2.08	+	6.26	3.37E-07	8.52E-04
growth	p001	QTL	MF	single-stranded RNA binding (GO:0003727)	243	17	2.41	+	7.04	1.09E-09	2.76E-06
growth	p001		MF	single-stranded RNA binding (GO:0003727)	243	23	3.32	+	6.94	2.29E-12	5.79E-09
height	p0001	QTL	MF	single-stranded RNA binding (GO:0003727)	243	18	2.98	+	6.03	4.13E-09	1.04E-05
height	p0001		MF	single-stranded RNA binding (GO:0003727)	243	21	3.11	+	6.74	3.19E-11	8.05E-08
height	p0005	QTL	MF	single-stranded RNA binding (GO:0003727)	243	35	5.24	+	6.68	2.97E-17	7.49E-14
height	p0005		MF	single-stranded RNA binding (GO:0003727)	243	33	5.22	+	6.32	1.00E-15	2.53E-12
height	p001	QTL	MF	single-stranded RNA binding (GO:0003727)	243	39	5.84	+	6.68	5.93E-19	1.50E-15
height	p001		MF	single-stranded RNA binding (GO:0003727)	243	44	6.56	+	6.71	4.07E-21	1.03E-17
growth	p001	QTL	MF	transition metal ion binding (GO:0046914)	1490	33	14.81	+	2.23	2.47E-05	1.56E-02
height	p0005	QTL	MF	transition metal ion binding (GO:0046914)	1490	56	32.13	+	1.74	8.94E-05	4.52E-02
height	p0005		MF	transition metal ion binding (GO:0046914)	1490	58	32	+	1.81	2.51E-05	1.27E-02
height	p001	QTL	MF	transition metal ion binding (GO:0046914)	1490	65	35.8	+	1.82	9.85E-06	4.98E-03
height	p001		MF	transition metal ion binding (GO:0046914)	1490	77	40.22	+	1.91	1.64E-07	8.27E-05
growth	p0005		MF	translation regulator activity (GO:0045182)	319	13	2.73	+	4.77	6.01E-06	7.60E-03
growth	p001	QTL	MF	translation regulator activity (GO:0045182)	319	17	3.17	+	5.36	4.93E-08	6.23E-05
growth	p001		MF	translation regulator activity (GO:0045182)	319	23	4.35	+	5.28	3.63E-10	4.58E-07
height	p0001	QTL	MF	translation regulator activity (GO:0045182)	319	18	3.92	+	4.6	2.04E-07	2.57E-04
height	p0001		MF	translation regulator activity (GO:0045182)	319	21	4.09	+	5.14	3.23E-09	4.09E-06
height	p0005	QTL	MF	translation regulator activity (GO:0045182)	319	39	6.88	+	5.67	6.87E-17	8.68E-14
height	p0005		MF	translation regulator activity (GO:0045182)	319	36	6.85	+	5.26	8.98E-15	1.13E-11
height	p001	QTL	MF	translation regulator activity (GO:0045182)	319	43	7.66	+	5.61	3.21E-18	4.06E-15
height	p001		MF	translation regulator activity (GO:0045182)	319	48	8.61	+	5.57	6.15E-20	7.77E-17
growth	p001	QTL	BP	triterpenoid biosynthetic process (GO:0016104)	20	4	0.2	+	20.13	8.37E-05	1.81E-02
growth	p001		BP	triterpenoid biosynthetic process (GO:0016104)	20	5	0.27	+	18.32	1.84E-05	3.97E-03
growth	p001	QTL	BP	triterpenoid metabolic process (GO:0006722)	20	4	0.2	+	20.13	8.37E-05	1.89E-02
growth	p001		BP	triterpenoid metabolic process (GO:0006722)	20	5	0.27	+	18.32	1.84E-05	4.16E-03
growth	p001	QTL	MF	zinc ion binding (GO:0008270)	882	24	8.76	+	2.74	1.32E-05	1.11E-02
growth	p001		MF	zinc ion binding (GO:0008270)	882	30	12.03	+	2.49	1.16E-05	7.34E-03
height	p0001		MF	zinc ion binding (GO:0008270)	882	28	11.3	+	2.48	2.53E-05	2.13E-02
height	p0005	QTL	MF	zinc ion binding (GO:0008270)	882	43	19.02	+	2.26	1.99E-06	1.25E-03
height	p0005		MF	zinc ion binding (GO:0008270)	882	42	18.94	+	2.22	3.69E-06	2.33E-03
height	p001	QTL	MF	zinc ion binding (GO:0008270)	882	53	21.19	+	2.5	4.59E-09	2.90E-06
height	p001		MF	zinc ion binding (GO:0008270)	882	58	23.81	+	2.44	2.60E-09	1.64E-06
